u_current,v_current,u_wind,v_wind,windage,sst,duration_hours,observed_area_km2,aspect_ratio,oil_density,oil_viscosity,dx_residual_meters,dy_residual_meters,uncertainty_scale
0.2013,0.3466,6.009,-4.702,0.0285,14.98,21.07,33.89,2.15,883.9,18.3,4692.91,-7390.65,1.355
-0.6489,-0.658,-2.326,0.209,0.0256,29.16,60.24,35.97,2.12,835.0,40.3,-6709.72,6522.08,1.231
-0.3741,-0.3611,16.312,2.173,0.0432,25.67,7.86,24.89,2.14,858.3,120.1,7649.57,-4307.35,1.194
-0.2405,-0.2543,7.893,8.23,0.0252,21.27,56.12,50.39,3.36,876.3,82.6,34456.39,15909.23,2.124
-0.0791,0.548,15.486,-5.226,0.0397,14.29,9.0,11.52,2.86,924.9,55.9,5367.88,-7892.23,1.244
0.5133,-0.3982,0.993,4.057,0.028,24.65,63.68,33.51,2.35,830.2,78.3,7669.04,11726.66,1.385
-0.5406,-0.5207,-8.679,3.074,0.0432,14.23,23.29,43.47,1.52,912.3,82.9,-8127.49,13034.7,1.359
0.0256,0.8234,-16.098,1.714,0.0429,14.02,47.81,54.29,1.08,920.2,164.3,-45552.99,39969.89,2.251
0.1663,-0.884,8.139,5.057,0.0381,25.09,36.13,53.09,1.77,911.5,23.1,18165.79,103.88,1.426
-0.8164,0.8961,-13.633,-8.66,0.0384,17.4,27.64,30.77,1.38,926.5,54.0,-28218.72,-944.19,1.7
0.1936,0.3183,-7.1,-14.953,0.0251,17.45,47.18,38.77,3.75,844.9,99.1,-35673.99,-32030.16,2.275
-0.5931,0.5912,1.169,-13.706,0.0447,25.76,68.33,23.96,1.39,902.2,127.2,-29310.2,-48735.06,2.509
-0.7829,-0.3697,2.319,-9.915,0.0426,14.97,4.89,28.36,3.53,951.8,115.4,-1561.89,-3336.99,1.112
0.808,-0.8742,3.621,0.007,0.0429,19.64,66.32,54.42,2.35,905.5,169.8,9876.55,-10172.7,1.361
0.8381,0.4282,-12.015,12.256,0.0382,16.69,44.64,55.88,1.26,905.6,144.2,-10769.19,53045.33,2.301
0.5551,0.6015,-4.329,7.247,0.0319,24.44,58.51,53.78,3.84,923.1,102.5,-305.1,29137.72,1.762
-0.3517,0.4329,4.219,10.405,0.0429,25.91,28.87,8.73,3.03,866.6,42.6,17061.94,8612.1,1.586
-0.7242,-0.6429,16.913,-5.365,0.0308,26.98,35.03,51.08,1.83,918.1,83.9,21820.99,-22253.17,1.972
0.3316,0.4562,8.195,-3.432,0.0363,18.59,62.82,56.93,4.13,948.3,126.3,22063.6,-29416.0,1.813
-0.1077,0.4841,15.214,-3.827,0.027,15.61,31.04,21.99,1.16,821.5,151.6,24286.3,-21035.26,1.873
-0.6803,0.2854,9.44,-11.093,0.0434,15.42,39.43,31.36,1.71,941.8,173.0,5324.26,-42623.58,1.914
-0.0087,0.479,3.302,-15.796,0.0278,21.67,3.41,46.86,3.63,850.6,111.0,-545.19,-3408.3,1.18
-0.8381,0.6227,-11.087,3.273,0.0295,31.03,13.1,33.94,3.48,883.8,97.2,-5972.8,4054.86,1.281
0.7368,0.2045,6.001,17.612,0.0362,17.92,46.92,59.61,2.01,939.3,8.1,40512.98,33714.02,2.494
-0.4342,-0.7405,4.442,-11.994,0.0403,18.62,52.19,27.61,1.22,935.3,17.6,-9863.43,-40724.78,2.165
0.2925,-0.0223,3.689,-16.319,0.0374,15.82,42.78,42.98,4.0,944.9,32.3,-14210.9,-44208.51,2.199
-0.3389,-0.7602,-0.368,10.063,0.0296,24.9,12.03,47.66,2.1,951.7,14.6,2557.43,4880.5,1.208
0.0361,-0.1664,1.032,-8.907,0.025,26.24,33.18,29.9,1.68,882.6,75.2,-2537.98,-14825.1,1.56
0.0841,-0.1672,-5.96,11.867,0.0401,25.57,26.86,51.49,2.81,911.9,64.0,3727.42,19246.77,1.6
-0.5673,-0.7812,0.695,7.342,0.0447,29.5,36.7,33.0,4.19,874.7,116.5,9553.0,11236.56,1.415
0.8453,-0.2721,-10.888,16.044,0.0412,22.76,62.92,24.99,1.15,869.1,98.7,696.78,76147.15,3.063
0.4952,-0.7002,10.986,-3.279,0.0342,16.42,56.31,6.92,3.68,880.4,109.3,29930.06,-30095.89,1.97
0.7911,0.5548,-11.312,5.831,0.0431,19.21,7.88,23.91,3.0,924.0,87.6,-3599.53,5717.61,1.233
0.7107,0.8058,-14.941,-1.265,0.0332,25.92,64.32,44.17,2.49,890.2,53.6,-47742.56,19886.32,2.674
0.1762,-0.7698,-2.295,4.701,0.0355,25.04,35.02,55.32,3.6,934.0,171.7,3074.09,9869.89,1.365
0.7594,0.8192,5.699,-1.814,0.0345,23.56,54.07,15.47,4.38,924.3,20.1,11611.31,-13408.83,1.597
-0.7407,0.0406,-2.242,-11.209,0.034,26.29,11.8,21.64,1.8,822.9,169.3,-4578.23,-5637.24,1.221
-0.5472,-0.3608,-8.037,0.284,0.0405,25.47,48.95,9.66,1.5,908.2,59.5,-17581.49,10947.83,1.651
-0.8186,-0.7616,2.094,1.029,0.0355,29.86,18.54,41.6,4.2,881.1,94.7,1715.91,-278.07,1.011
-0.3144,0.0011,-5.508,11.182,0.0313,24.55,32.69,57.63,3.34,883.9,24.0,273.94,20905.12,1.766
-0.2004,0.5301,15.583,8.479,0.0302,28.01,3.18,38.64,2.53,934.6,17.4,2650.29,296.54,1.07
-0.4116,0.3728,15.215,5.896,0.0258,18.48,12.61,37.22,3.01,896.7,80.2,11585.95,-984.43,1.36
0.5917,-0.8096,0.085,-13.918,0.0367,26.21,8.45,33.43,3.61,944.0,134.8,-3887.41,-5864.44,1.209
-0.2578,-0.7688,-6.196,7.942,0.0296,30.24,18.78,5.76,3.71,919.8,52.1,-1400.52,8859.11,1.248
-0.3943,-0.1748,8.537,0.011,0.028,20.94,9.0,43.91,4.22,897.4,103.4,3866.89,-2708.81,1.041
0.0769,-0.3685,-16.678,14.188,0.0381,28.02,50.43,36.32,2.49,925.6,53.8,-18025.91,54015.28,2.841
-0.6463,-0.4817,-0.908,15.115,0.0386,27.05,4.03,39.86,2.03,825.4,73.0,1667.67,2890.98,1.079
0.544,-0.3942,-5.892,-16.014,0.04,15.07,45.24,53.98,3.24,823.8,163.6,-44990.54,-33348.97,2.282
-0.7658,0.5463,15.139,11.543,0.0351,24.47,11.85,47.15,2.46,831.7,154.8,14168.79,1990.64,1.429
0.8764,0.7726,-17.568,-16.643,0.0429,16.34,68.16,46.96,3.08,881.3,95.3,-114971.59,-16621.59,3.5
0.49,-0.1708,1.901,-4.782,0.0437,31.41,67.32,55.67,2.47,853.0,46.7,-3788.1,-17298.45,1.615
-0.5423,0.731,8.664,1.523,0.0411,28.61,17.79,59.4,1.54,957.8,38.8,7687.56,-4320.36,1.283
-0.8901,-0.3213,-0.539,-12.668,0.0377,15.98,45.01,35.09,2.64,895.9,172.0,-21761.81,-33516.55,1.935
0.5678,-0.0424,-14.925,8.867,0.0311,16.19,3.96,6.98,3.42,912.7,40.5,-2738.39,3216.61,1.065
0.3723,-0.4931,17.009,-17.699,0.0447,24.7,67.23,27.82,3.8,859.0,146.4,14800.47,-105491.64,3.5
0.4122,0.2529,0.648,-11.93,0.0305,20.21,38.61,47.36,2.73,865.1,69.6,-9020.15,-23938.72,1.773
0.4883,0.8622,4.111,2.909,0.0291,14.63,5.03,2.15,1.58,867.0,177.5,1626.94,324.93,1.088
-0.7667,0.1863,-9.482,7.718,0.0338,23.75,25.97,3.88,2.45,917.8,69.4,-6280.31,16019.09,1.522
-0.2548,-0.2559,-0.594,14.999,0.0261,20.98,7.38,4.5,3.75,886.3,66.5,2506.26,5622.97,1.17
-0.6914,0.2661,-2.551,7.398,0.0446,15.82,29.51,44.0,2.45,892.5,116.6,4214.06,15875.41,1.373
0.6536,-0.6787,-15.304,6.184,0.0368,28.43,48.89,30.32,3.44,902.9,173.3,-26385.04,37403.5,2.299
0.2219,0.6996,-14.178,-3.804,0.0361,30.47,34.89,22.45,2.78,927.6,175.8,-26957.59,6440.01,1.926
-0.3044,0.0056,12.149,-17.954,0.0381,27.62,28.86,6.78,1.84,832.7,128.8,2016.0,-37256.17,2.1
-0.7856,-0.0912,-9.366,-13.674,0.0349,28.8,10.34,44.07,3.79,928.8,137.1,-9255.53,-3256.44,1.225
-0.3402,0.1546,-10.982,1.244,0.0256,17.9,19.15,19.6,1.29,898.9,103.6,-10777.68,5445.84,1.393
-0.3147,0.2246,0.177,6.305,0.0372,18.74,9.01,16.29,2.84,913.7,137.3,2265.8,3255.35,1.002
0.4133,-0.7708,9.675,-2.972,0.0393,17.75,58.52,39.31,1.73,865.9,155.5,27783.4,-29397.71,2.036
0.2476,0.3287,-15.77,8.304,0.0333,27.77,11.47,33.76,1.23,877.3,90.1,-6255.28,9075.51,1.306
0.697,-0.4645,2.765,0.787,0.0401,31.06,43.68,22.06,2.76,852.4,113.5,4878.63,-2702.63,1.227
-0.05,0.3851,-13.708,-15.33,0.0295,26.9,25.99,38.67,2.75,957.1,99.0,-26923.51,-12336.07,1.794
-0.6847,0.5806,-16.687,-11.087,0.0294,29.87,17.82,16.64,3.47,889.6,103.4,-18246.96,-3608.67,1.535
0.3838,0.5471,-16.101,12.24,0.0282,25.5,46.76,47.79,3.61,959.5,160.8,-27456.45,48520.51,2.6
0.4694,0.0945,12.03,8.097,0.0324,20.98,33.99,14.14,3.55,888.6,67.2,29826.38,4460.92,1.786
0.1103,0.0363,-13.753,14.211,0.0419,21.66,30.01,9.95,2.43,850.8,41.4,-5004.95,34858.68,1.947
0.4877,-0.6428,-16.375,-13.768,0.0416,15.36,43.5,47.06,3.21,891.0,84.8,-64527.67,-7453.67,2.621
-0.0112,0.4956,-2.236,17.648,0.0327,14.57,36.39,42.62,3.02,825.5,41.4,14155.87,39688.57,2.189
0.0409,-0.4115,12.384,-10.461,0.0368,26.52,23.24,11.37,2.48,946.7,92.2,5530.84,-20289.9,1.675
-0.1304,-0.0059,-8.553,-17.576,0.0394,21.89,41.13,7.42,3.09,934.6,163.1,-44306.36,-27360.44,2.285
-0.8542,-0.3883,-2.818,17.907,0.0298,23.94,48.86,50.38,4.32,921.6,113.1,16156.19,48850.45,2.565
-0.7058,-0.6591,-16.563,-7.881,0.0284,24.04,3.87,46.71,1.68,905.4,154.7,-4382.6,-208.45,1.04
-0.8434,0.2332,-1.833,6.049,0.0444,18.99,34.61,19.97,4.17,901.2,34.1,4635.26,12556.9,1.349
0.2455,-0.8022,2.794,-11.639,0.0374,22.57,6.04,39.66,1.19,959.5,162.7,-1250.98,-3697.82,1.123
-0.3342,0.4476,2.553,2.888,0.0446,22.47,15.05,7.89,2.08,858.9,110.3,4472.68,968.48,1.193
0.0154,-0.3283,-6.033,14.545,0.0318,20.99,41.24,30.67,2.01,929.2,10.6,3004.77,37002.18,2.128
0.7336,-0.8998,-6.641,-6.473,0.0391,28.77,62.63,1.61,3.19,901.4,115.8,-30593.96,-7178.7,1.945
-0.4513,0.02,-14.162,6.129,0.0295,22.12,63.8,23.8,1.46,956.6,171.5,-40145.15,47135.11,2.593
-0.1613,-0.8157,-4.795,-11.235,0.0302,24.87,6.9,4.95,4.09,935.9,18.9,-3816.3,-2560.96,1.191
0.46,-0.4029,-14.418,4.493,0.0352,30.12,31.34,28.77,3.9,959.8,106.9,-17985.43,16707.6,1.762
-0.4882,0.3726,9.597,-5.888,0.0314,29.59,42.81,25.59,3.28,902.4,165.2,12737.37,-21634.37,1.814
-0.7614,-0.7872,16.786,-10.397,0.0284,30.03,12.29,26.94,2.6,848.6,6.7,6691.6,-9393.71,1.336
-0.3784,0.6108,16.923,-6.725,0.0303,18.86,55.58,3.2,4.27,890.5,115.4,42772.14,-48677.57,2.715
-0.6098,-0.8931,13.143,-11.562,0.0257,14.63,54.1,22.02,3.91,919.6,88.1,26718.61,-54595.01,2.603
0.7735,-0.4557,3.629,14.469,0.0391,18.7,65.23,45.51,2.75,928.4,65.7,44062.24,43026.71,2.56
0.5546,0.4336,7.231,-3.701,0.0348,19.02,2.59,22.45,3.46,820.1,114.8,677.48,-1070.75,1.087
0.2401,-0.3307,-7.733,-9.17,0.0269,30.37,17.17,43.05,2.98,890.7,14.2,-7131.09,-4142.47,1.371
0.6686,-0.7166,4.708,-1.857,0.0284,25.69,59.9,22.48,3.06,852.9,136.8,10795.81,-12293.64,1.542
0.5466,-0.2516,-1.597,-6.461,0.0271,15.47,48.94,25.68,2.16,942.5,5.8,-12379.1,-12104.4,1.524
-0.5642,-0.4133,-0.647,8.799,0.0373,16.44,64.61,34.05,2.62,841.4,58.7,16799.72,30571.95,1.959
0.7066,0.6169,9.28,16.964,0.0269,16.8,6.0,57.07,1.27,913.3,93.2,6392.67,4855.72,1.197
0.0708,-0.336,-7.851,-2.231,0.0401,25.35,43.79,6.98,2.25,857.2,71.0,-19315.1,6195.28,1.588
0.5534,0.5201,-6.551,12.997,0.0254,27.24,41.83,2.46,3.44,869.9,58.8,-3647.1,29453.49,2.023
0.713,0.7054,15.287,2.371,0.03,29.47,4.5,36.67,4.34,951.7,150.4,3401.43,-1092.18,1.179
-0.3276,-0.1191,-15.976,-12.34,0.0428,30.93,37.95,56.97,4.37,853.7,168.6,-43682.8,-3483.36,2.33
-0.7019,0.7379,-0.517,6.862,0.0394,17.63,44.67,59.39,2.95,833.3,157.9,10913.77,17459.07,1.453
-0.4897,-0.2208,14.861,0.484,0.0265,19.58,15.39,29.31,3.12,829.7,96.4,13387.03,-4938.69,1.431
-0.1312,0.8353,3.973,5.422,0.0414,18.33,21.13,28.35,1.65,890.6,159.7,8405.74,1973.09,1.296
0.5724,-0.7393,1.671,14.029,0.0349,20.46,46.82,38.88,3.43,909.8,166.2,24490.28,35262.31,2.095
0.6493,0.3366,-9.009,-2.144,0.0419,30.46,34.78,33.56,1.25,865.8,76.6,-15586.83,5246.97,1.562
-0.8875,-0.0111,-5.642,14.442,0.037,24.35,62.06,38.23,2.0,916.6,54.6,9785.41,51324.09,2.628
0.0193,-0.2022,12.674,9.024,0.0386,27.29,25.97,52.5,3.34,828.5,22.2,19805.55,388.04,1.631
-0.1487,0.2389,2.132,-0.41,0.0449,22.82,20.67,44.91,2.09,940.0,88.8,1265.98,-531.06,1.056
-0.5002,0.3669,0.531,3.716,0.0296,14.52,70.94,30.06,1.17,934.3,170.6,9345.03,11746.5,1.481
-0.6842,-0.8921,-14.415,-6.279,0.0375,15.16,65.78,27.98,3.91,958.0,103.2,-69203.35,10080.16,2.699
-0.2923,-0.5995,-17.423,17.41,0.0342,23.68,4.03,38.56,2.09,951.1,121.8,-1514.02,5462.12,1.214
0.7972,0.3835,16.693,6.025,0.0258,26.94,55.95,27.61,1.22,869.9,24.8,49457.17,-2388.64,2.72
-0.3182,0.2995,-4.428,-16.422,0.0253,17.88,9.72,27.74,1.26,875.9,30.1,-5153.08,-7410.75,1.333
0.0338,0.8389,3.716,-6.242,0.0274,26.99,3.92,1.47,1.88,924.4,86.3,66.83,-1260.81,1.146
0.3654,0.4699,-15.13,4.439,0.038,28.59,21.16,10.86,1.62,838.8,171.5,-13769.96,13902.98,1.552
-0.2455,0.8114,6.592,-15.972,0.0363,21.41,20.85,29.57,3.71,864.0,68.1,-3781.72,-22242.4,1.609
0.8492,0.3646,15.572,-17.14,0.0361,27.44,59.35,49.45,2.13,836.6,158.6,14845.78,-77546.39,3.307
0.8324,-0.3635,2.724,-1.799,0.0256,21.27,51.75,17.08,3.82,883.7,26.1,4115.55,-6608.16,1.279
-0.4468,-0.7103,-13.46,-6.023,0.0344,26.21,70.71,31.6,1.61,897.3,113.0,-58778.24,4684.38,2.765
-0.005,0.5073,2.942,-2.221,0.0435,27.75,51.81,21.03,2.73,849.6,110.1,3582.19,-9570.62,1.233
-0.3584,0.2595,9.588,-8.543,0.033,31.85,31.28,6.74,3.41,823.7,155.5,7184.79,-19877.37,1.68
-0.3873,-0.8133,-3.369,-12.07,0.0375,20.22,50.92,57.52,3.28,920.7,5.6,-27414.6,-25853.19,1.995
-0.8336,-0.2519,13.674,6.809,0.0406,21.4,71.96,51.35,3.1,822.8,38.2,64731.67,-7997.01,2.784
0.1972,0.8222,5.353,0.525,0.0407,16.98,51.71,5.17,4.24,956.3,43.4,13878.83,-7957.23,1.5
0.0048,0.0007,14.373,-10.794,0.0354,17.67,55.32,43.33,1.8,851.0,171.2,28439.36,-62568.23,2.647
-0.8073,-0.1211,4.446,-6.495,0.0422,26.48,67.69,21.18,2.73,912.9,31.9,-1541.98,-27470.43,1.923
-0.3984,-0.0761,-13.274,3.305,0.0328,30.51,9.96,59.69,4.09,880.9,11.5,-5167.17,3796.88,1.216
0.7349,-0.524,-6.851,-15.4,0.0428,21.1,51.33,18.49,1.27,828.4,98.5,-46639.18,-26977.71,2.497
-0.4688,-0.2363,-10.735,-12.692,0.0298,17.24,61.56,14.7,1.2,886.1,97.5,-58519.69,-27165.72,2.693
-0.6392,-0.2343,14.718,-15.363,0.0306,19.13,68.81,34.29,1.82,892.3,152.7,26964.27,-90644.01,3.342
-0.019,-0.8058,9.374,11.243,0.0261,22.19,16.77,50.19,3.22,939.7,171.1,13767.78,6120.94,1.42
0.8742,0.4816,6.35,9.087,0.0409,19.23,37.28,11.95,1.91,922.5,99.2,24278.66,9367.28,1.58
-0.4643,-0.1503,-7.165,9.119,0.0333,18.2,49.64,42.71,1.67,831.1,167.7,-6799.08,38329.11,1.887
0.3098,0.5799,-11.374,7.788,0.0296,27.25,19.32,4.15,2.61,849.3,131.9,-7175.41,13054.74,1.4
0.4709,0.6306,9.232,6.098,0.0296,14.14,44.03,55.18,3.15,863.7,51.3,31155.47,5707.18,1.762
-0.4723,-0.5184,-0.93,-0.828,0.043,23.71,20.03,5.32,1.87,836.3,167.5,-1203.09,263.45,1.014
0.4108,0.2832,-9.872,5.122,0.0417,28.29,25.34,54.9,2.05,884.0,121.8,-7468.59,14227.8,1.418
-0.238,-0.0499,4.198,-16.619,0.0361,18.79,32.91,29.7,3.15,957.8,77.5,-10147.66,-34506.22,1.87
0.2382,0.6843,-16.548,4.373,0.0373,24.86,39.04,27.16,4.31,892.0,124.0,-27218.3,27853.07,2.191
0.2404,-0.5117,-6.258,10.004,0.0345,26.04,33.46,58.41,3.36,923.9,75.2,-1086.27,22097.26,1.624
0.0644,0.3201,-1.132,0.013,0.0328,25.79,36.52,59.43,3.74,915.6,25.0,-25.89,1876.09,0.957
-0.7375,0.194,-12.673,-5.13,0.0433,22.03,22.9,39.19,2.28,939.0,130.8,-19314.71,3944.19,1.504
0.6035,-0.3685,17.448,-8.013,0.0275,20.24,13.13,8.06,1.95,850.2,149.2,10008.77,-11370.0,1.364
-0.3226,-0.6541,-10.472,5.141,0.0334,29.05,5.31,30.62,2.59,925.5,132.5,-2078.37,2926.4,1.059
-0.5643,0.273,-13.307,6.941,0.0319,27.65,15.72,31.99,3.82,943.4,45.1,-6834.89,9027.74,1.429
-0.8266,0.4295,-10.673,13.355,0.035,19.78,42.74,31.11,2.6,844.0,172.4,-6557.98,48512.46,2.195
0.1636,-0.3319,9.686,-5.676,0.0342,15.85,57.03,34.38,3.96,868.6,9.4,21356.4,-34815.15,2.009
0.3196,0.2607,-2.682,9.712,0.0354,15.29,13.85,1.61,4.46,955.8,63.2,2081.57,7340.09,1.255
-0.8701,-0.1888,2.355,2.209,0.0278,15.7,9.6,42.82,1.25,929.3,50.5,1272.17,459.03,1.109
0.0218,0.3838,-17.244,13.782,0.0353,24.49,54.45,42.89,1.16,859.6,13.4,-25109.32,59767.02,3.03
-0.4923,-0.5414,-16.76,1.001,0.0298,14.93,23.36,7.37,1.52,899.0,76.0,-22069.73,12196.45,1.531
0.2613,0.7024,-1.95,0.635,0.0287,20.06,68.6,34.43,2.35,876.6,114.0,-2718.69,9136.07,1.179
-0.5861,-0.3827,11.4,2.804,0.0263,27.56,52.0,34.32,1.46,888.6,159.4,33388.66,-4864.58,2.02
0.3437,-0.238,13.869,8.975,0.0403,19.3,24.87,41.11,4.05,869.7,178.2,27349.79,-30.92,1.673
-0.2039,-0.7954,-14.879,16.729,0.0335,27.74,22.27,5.58,1.08,859.1,146.4,-7077.83,27682.19,1.815
0.7861,-0.6993,1.381,-15.352,0.0375,27.42,38.66,37.78,2.11,914.5,87.0,-14912.78,-29556.13,1.944
-0.6525,0.0286,14.876,-16.076,0.0396,18.42,7.54,17.2,1.65,929.0,131.6,1655.5,-10649.1,1.205
-0.2861,-0.4183,-4.033,15.752,0.0386,27.12,10.24,30.67,4.26,942.4,152.6,2786.07,9502.69,1.378
-0.6957,0.6039,11.864,1.076,0.0344,27.46,14.31,46.51,3.34,841.7,86.4,8454.29,-3514.3,1.285
0.7644,-0.8736,-13.187,4.137,0.0328,21.15,56.23,42.49,4.19,935.2,142.4,-33311.77,33738.09,2.327
0.6792,-0.2176,15.674,-0.633,0.0325,17.79,37.97,7.57,4.4,855.7,89.5,33676.58,-20230.01,1.993
-0.4357,-0.2928,9.051,-14.628,0.0378,23.38,2.74,35.68,2.74,879.8,72.6,145.53,-2873.57,1.081
0.288,-0.8652,15.888,9.651,0.0349,30.59,49.15,58.16,1.82,946.2,97.1,44564.11,1942.12,2.52
0.571,-0.6761,6.358,8.9,0.042,25.51,31.66,9.83,1.68,883.6,123.3,18521.77,6527.58,1.521
0.0994,-0.1554,-4.917,-6.779,0.0425,17.11,37.76,51.25,1.78,847.6,132.2,-20765.29,-6574.28,1.451
0.0534,-0.0128,15.775,-6.975,0.0284,26.29,16.99,42.3,3.48,842.4,67.4,10295.9,-11548.4,1.508
-0.4647,-0.1723,-8.08,12.162,0.0277,21.69,40.62,46.55,1.14,886.2,105.0,-5019.26,34593.01,1.998
-0.7324,0.0557,-6.042,-15.395,0.0376,24.65,70.54,17.28,1.18,926.8,164.2,-57336.5,-44878.68,2.991
0.715,0.1712,7.229,13.72,0.031,27.21,7.14,17.63,3.13,959.6,175.9,5181.27,3795.01,1.221
0.7208,-0.8821,9.551,-8.76,0.0254,23.27,21.87,54.41,3.25,930.2,44.8,6604.9,-14020.25,1.432
0.2396,-0.0646,15.459,3.347,0.0428,28.65,19.01,21.91,3.33,942.8,38.7,14330.26,-7082.73,1.558
-0.2897,0.8343,-10.627,15.696,0.0295,27.0,19.4,4.25,2.3,924.7,123.4,-3073.42,19789.76,1.651
-0.2714,0.0343,10.728,6.412,0.0436,25.07,28.51,36.24,3.82,945.4,77.6,21624.72,-550.16,1.628
0.4067,0.3196,8.588,-3.081,0.0393,16.71,59.27,7.93,2.87,830.7,9.2,19844.67,-28209.13,2.014
0.7148,-0.3386,-15.703,6.823,0.0403,29.05,65.9,47.9,1.37,950.2,65.7,-32655.3,49706.78,2.983
0.6968,0.4932,-4.06,-5.617,0.029,30.85,16.16,38.68,3.79,875.5,146.2,-4926.79,-2157.51,1.221
0.5038,0.4913,-7.82,-8.019,0.0297,16.47,40.01,52.55,4.34,949.0,144.5,-26465.84,-7890.24,1.775
0.2557,0.0383,-7.038,17.881,0.0354,22.79,46.58,47.2,1.21,830.6,91.6,6384.83,52049.49,2.546
-0.7485,0.8568,17.386,9.028,0.0284,18.66,38.53,7.17,2.37,920.1,87.7,47867.02,1964.05,2.229
-0.6091,-0.674,5.14,5.21,0.0311,27.58,32.39,23.17,2.71,923.0,106.4,10663.67,2777.93,1.367
0.7174,-0.8695,7.836,-5.21,0.0314,26.99,15.44,46.59,1.51,959.6,43.4,3131.05,-5661.08,1.276
0.1916,0.4863,17.158,-16.23,0.0282,16.54,36.18,25.33,4.04,927.6,97.1,21689.26,-51345.77,2.381
-0.8834,0.5529,-4.421,-16.882,0.0291,29.79,30.09,58.36,1.99,873.6,6.9,-14410.85,-18790.25,1.905
-0.7174,-0.6836,10.866,1.951,0.0408,17.26,57.69,44.28,3.74,898.0,88.2,36929.91,-19143.92,2.069
0.2943,-0.422,-2.357,9.433,0.0283,28.35,55.45,1.42,3.35,871.3,63.8,3717.67,26844.46,1.856
-0.8909,-0.8684,13.303,1.346,0.0256,22.23,11.38,52.86,3.09,847.4,123.1,8620.63,-1917.99,1.255
-0.6105,-0.372,-11.496,12.268,0.0376,19.91,8.2,6.5,1.67,854.8,116.7,-814.98,9046.07,1.295
0.0877,0.4917,16.117,-16.797,0.0445,16.85,65.57,8.86,1.77,851.1,71.6,15934.85,-105478.43,3.5
0.3454,0.0323,-10.124,-4.797,0.0316,17.02,39.49,44.2,1.17,896.8,6.3,-26190.72,1435.39,1.742
0.2735,-0.2734,-6.256,-9.465,0.0274,25.91,62.05,51.97,1.84,946.9,49.1,-32893.71,-21239.11,2.19
-0.4963,-0.2309,9.223,-1.898,0.0364,23.91,6.07,32.41,2.21,947.8,115.8,2479.64,-2244.27,1.118
0.3819,-0.8976,-3.825,-15.394,0.0431,16.2,38.86,17.7,3.92,827.7,17.7,-30046.31,-26083.14,2.011
-0.473,-0.3604,3.896,16.349,0.0407,16.03,39.76,21.4,2.28,831.2,23.8,31227.71,29876.34,2.131
-0.3143,0.2636,-1.995,-9.963,0.0375,15.3,62.25,20.9,3.64,854.3,118.2,-30500.38,-30871.18,2.002
